KeywordName;NLanguage (0=it-IT, 1=es-PE, 2=en-GB, 3=de-DE);LanguageID;Words;;;;;;;
advice;0;it-IT;consiglio;;;;;;;
advice;1;es-PE;;;;;;;;
advice;2;en-GB;advice;;;;;;;
advice;3;de-DE;;;;;;;;
anger;0;it-IT;rabbia;arrabbiato;arrabbiato;irritazione;irritato;irritata;irritarti;arrabbiarti
anger;1;es-PE;;;;;;;;
anger;2;en-GB;anger;angry;irritation;irritated;;;;
anger;3;de-DE;;;;;;;;
cat;0;it-IT;gatto;;;;;;;
cat;1;es-PE;;;;;;;;
cat;2;en-GB;cat;;;;;;;
cat;3;de-DE;;;;;;;;
death;0;it-IT;morire;morte;morto;;;;;
death;1;es-PE;muerte;morir;;;;;;
death;2;en-GB;death;to die;;;;;;
death;3;de-DE;;;;;;;;
faith;0;it-IT;la fede;mia fede;;;;;;
faith;1;es-PE;la fe;mi fe;;;;;;
faith;2;en-GB;my faith;faith;;;;;;
faith;3;de-DE;;;;;;;;
family;0;it-IT;famiglia;;;;;;;
family;1;es-PE;;;;;;;;
family;2;en-GB;family;;;;;;;
family;3;de-DE;;;;;;;;
forgive;0;it-IT;perdono;perdonare;;;;;;
forgive;1;es-PE;;;;;;;;
forgive;2;en-GB;forgive;forgiveness;;;;;;
forgive;3;de-DE;;;;;;;;
grace;0;it-IT;la grazia;;;;;;;
grace;1;es-PE;;;;;;;;
grace;2;en-GB;grace;;;;;;;
grace;3;de-DE;;;;;;;;
gratitude;0;it-IT;gratitudine;;;;;;;
gratitude;1;es-PE;gratuidad;;;;;;;
gratitude;2;en-GB;gratitude;;;;;;;
gratitude;3;de-DE;;;;;;;;
happy;0;it-IT;felicità;esser felice;felice;;;;;
happy;1;es-PE;felicidad;ser feliz;feliz;;;;;
happy;2;en-GB;happy;be happy;happiness;;;;;
happy;3;de-DE;;;;;;;;
health;0;it-IT;salute;;;;;;;
health;1;es-PE;;;;;;;;
health;2;en-GB;health;;;;;;;
health;3;de-DE;;;;;;;;
help;0;it-IT;aiuto;aiutare;aiutarmi;;;;;
help;1;es-PE;;;;;;;;
help;2;en-GB;help;to help me;;;;;;
help;3;de-DE;;;;;;;;
honesty;0;it-IT;onestà;;;;;;;
honesty;1;es-PE;;;;;;;;
honesty;2;en-GB;honesty;;;;;;;
honesty;3;de-DE;;;;;;;;
hope;0;it-IT;speranza;;;;;;;
hope;1;es-PE;;;;;;;;
hope;2;en-GB;hope;;;;;;;
